"%s was added to your shopping cart.","%s е добавен в количката."
"%s was updated in your shopping cart.","%s е обновен в количката."
"* Required Fields","* Задължителни полета"
"Default Billing","Разплащане по подразбиране"
"Default Shipping","Доставка по подразбиране"
"Delete Condition","Изтриване на условие"
"Details","Детайли"
"Disabled","Неактивно"
"Discount Codes","Кодове за отстъпки"
"Display Cart Summary","Покажи общ преглед на количката"
"Display Shopping Cart Sidebar","Покажи странична лента на количката"
"Display item quantities","Покажи количествата на артикулите"
"Display number of items in cart","Покажи брой на продукти в количката"
"Display number of items in wishlist","Покажи брой на продукти в списък с желания"
"Easy access to your order history and status","Лесен достъп до исторя и статус на поръчка"
"Edit","Редактирай"
"Edit Address","Редактирай адрес"
"Edit Billing Address","Редактирай адрес за плащане"
"Edit Items","Редактирай артикули"
"Edit Shipping Address","Редактирай адрес за доставка"
"Edit Terms and Conditions","Редактирай правила и условия"
"Edit Your Cart","Промени съдържанието на количката"
"Edit item","Редактирай"
"Edit item parameters","Редактирай параметри"
"Email Address","Имейл адрес"
"Enable Onepage Checkout","Разреши разплащане на една страница"
"Enable Terms and Conditions","Разреши Правила и условия"
"Enabled","Активиран"
"Enter a New Address","Въведете нов адрес"
"Enter your coupon code if you have one.","Въведете ваучър код, ако е наличен."
"Enter your destination to get a shipping estimate.","Въведете крайна точка за изчисляване на доставката."
"Estimate Shipping and Tax","Изчисли доставка и данъци"
"Excl. Tax","Без данък"
"Fast and easy check out","Бързо и лесно разплащане"
"Fax","Факс"
"Forgot an Item?","Забравен продукт?"
"Forgot your password?","Забравена парола?"
"Get a Quote","Вземи оферта"
"Get list of available payment methods","Провери начините за плащане"
"Get list of available shipping methods","Провери начините за доставка"
"Get list of products in shopping cart","Провери продуктите в количката"
"Get terms and conditions","Get terms and conditions"
"Get total prices for shopping cart","Get total prices for shopping cart"
"Gift Message","Съобщение за подарък"
"Grand Total:","Общо:"
"Grouped Product Image","Изображение на Групиран продукт"
"HTML","HTML"
"ID","ID"
"Incl. Tax","С вкл. данък"
"Invalid method: %s","Невалиден метод: %s"
"Item not found or already ordered","Продуктът не е намерен или вече е поръчан"
"Items","Артикули"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Зареждане грешка на клиентска оферта"
"Loading next step...","Зареждане на следваща стъпка ..."
"Login","Вход"
"Login/Registration Before","Вход/Регистрация преди"
"Manage Checkout Terms and Conditions","Управление на правила и условия за разплащане"
"Maximum Display Recently Added Item(s)","Максимален брой за показване на последно добавени продукти"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимално разрешено количество за доставка на различни адреси е %s"
"Move to Wishlist","Премести в списък с желания"
"Multishipping Checkout","Разплащане по няколко доставки"
"Multishipping Checkout Address (Any) Form","Форма за адрес за Разплащане по няколко доставки"
"Multishipping Checkout Billing Address Creation","Създаване на адрес за разплащане за Разплащане по няколко доставки"
"Multishipping Checkout Billing Address Edit Form","Форма за редакция на адрес за разплащане за Разплащане по няколко доставки"
"Multishipping Checkout Billing Address Selection","Избор на адрес за разплащане за Разплащане по няколко доставки"
"Multishipping Checkout Billing Information Step","Информация за стъпка за Разплащане по няколко доставки"
"Multishipping Checkout Customer Address Edit Form","Форма за редакция на клиентски адрес за Разплащане по няколко доставки"
"Multishipping Checkout Overview","Общ преглед на Разплащане по няколко доставки"
"Multishipping Checkout Shipping Address Creation","Създаване на адрес за доставка за Разплащане по няколко доставки"
"Multishipping Checkout Shipping Address Edit Form","Форма за редакция на адрес за доставка за Разплащане по няколко доставки"
"Multishipping Checkout Shipping Address Selection","Избор на адрес за доставка за Разплащане по няколко доставки"
"Multishipping Checkout Shipping Information Step","Информация за стъпка за Разплащане по няколко доставки"
"Multishipping Checkout Success","Успешно Разплащане по няколко доставки"
"My Cart","Моята Количка"
"My Cart (%s item)","Моята Количка (%s продукт)"
"My Cart (%s items)","Моята Количка (%s продукта)"
"My Cart Link","Линк към моята количка"
"New Address","Нов адрес"
"New Condition","Ново условие"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ОБЩАТА СУМА НА ПОРЪЧКАТА ЩЕ БЪДЕ ПОКАЗАНА ПРЕДИ ПОТВЪРЖДАВАНЕ"
"One Page Checkout","Разплащане на една страница"
"One Page Checkout Failure","Неуспешно разплащане на една страница"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","Успешно разплащане на една страница"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Поръчка №"
"Order Review","Преглед на поръчката"
"Order Success","Успешна поръчка"
"Order place error.","Грешка при подаване на поръчката"
"Other Items in Your Order","Други продукти в поръчката"
"Overview Items After","Overview Items After"
"Password","Парола"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Информация за плащане"
"Payment Method","Начин на плащане"
"Payment Methods After Checkout Button","Начини на плащане след бутона разплащане"
"Payment Methods Before Checkout Button","Начини на плащане преди бутона разплащане"
"Payment method information","Информация за начин наплащане"
"Payment method is not defined","Не е избран начин на плащане"
"Payment methods in shopping cart","Начини на плащане в количката"
"Payment profile # %s: ""%s"".","Разплащателен профил # %s: ""%s""."
"Place Order","Направи поръчка"
"Please agree to all Terms and Conditions before placing the order.","Трябва да сте съгласни с всички Правила и условия преди да направите поръчка."
"Please agree to all Terms and Conditions before placing the orders.","Трябва да сте съгласни с всички Правила и условия преди да направите поръчка."
"Please agree to all the terms and conditions before placing the order.","Моля съгласете се с всички Условия за ползване преди да изпратите поръчката"
"Please log in below:","Моля, влезте в систаемата"
"Please select region, state or province","Моля изберете област"
"Please select shipping address for applicable items","Моля, изберете адрес за доставка за посочените артикули"
"Please select shipping methods for all addresses","Моля, изберете начин на доставка за всички адреси"
"Price","Цена"
"Proceed to Checkout","Продължи към разплащане"
"Product","Продукт"
"Product Name","Име на продукт"
"Products","Продукти"
"Qty","Кол."
"Qty:","Кол.:"
"Quantity was recalculated from %d to %d","Кол. е преизчислено от %d на %d"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","Последно  добавени продукти"
"Register","Регистрация"
"Register and save time!","Регистрирайте се и спестете време!"
"Register to Create an Account","Регистрирате се за да създадете потребителски профил"
"Register with us for future convenience:","Register with us for future convenience:"
"Remove Item","Премахни"
"Remove This Item","Премахни този продукт"
"Remove coupon code from shopping cart","Премахни кода за отстъпка от количката"
"Remove item","Премахни"
"Remove product from shopping cart","Премахни продукта от количката"
"Remove product(s) from shopping cart","Премахни продукта(ите) от количката"
"Retrieve information about shopping cart","Получи информация за количката"
"Review Order","Прегледай поръчката"
"Review Order - %s","Преглед на поръчка - %s"
"Sales","Продажби"
"Save Condition","Запис на условие"
"Save in address book","Запиши в адресната книга"
"See price before order confirmation.","Виж цената преди потвърждение на поръчката"
"Select Address","Избор на адрес"
"Select Addresses","Избор на адреси"
"Select Shipping Method","Избор на начин за доствка"
"Select State/Province...","Изберете област ..."
"Select a billing address from your address book or enter a new address.","Изберете адрес за плащане от адресната книга или въведете нов."
"Select a shipping address from your address book or enter a new address.","Изберете адрес за доставка от адресната книга или въведете нов."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Изпращане до"
"Separate by "","".","Разделяне чрез "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Избери начин на плащане"
"Set shipping method","Избери начин на доставка"
"Ship to Multiple Addresses","Доставка до няколко адреса"
"Ship to different address","Изпращане до различен адрес"
"Ship to this address","Изпращане до този адрес"
"Shipping Address","Адрес за доставка"
"Shipping Information","Информация за доставка"
"Shipping Method","Начин на доставка"
"Shipping Methods","Начини на доставка"
"Shipping To","Доставка до"
"Shipping information","Информация за доствка"
"Shipping method has not been selected yet","Не е избран начин на доставка"
"Shipping methods in shopping cart","Shipping methods in shopping cart"
"Shipping selection is not applicable.","Изборът на доставка не е наличен."
"Shopping Cart","Количка"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Количката е празна"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Покажи съдържанието като"
"Some of the requested products are not available in the desired quantity.","Някои от заявените продукти на са налични в заявеното количество."
"Some of the requested products are unavailable.","Някои от заявените продукти не са налични."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Област/Община"
"Status","Статус"
"Store View","Изглед"
"Street Address","Улица"
"Street Address %s","Улица %s"
"Submitting order information...","Изпращане на информация за поръчка..."
"Subtotal","Междинна сума"
"Telephone","Телефон"
"Terms and Conditions","Правила и условия"
"Terms and Conditions Information","Информация за правила и условия"
"Terms and conditions","Правила и условия"
"Text","Текст"
"Thank you for your purchase!","Благодарим Ви за покупката!"
"The condition has been deleted","Условието е изтрито"
"The condition has been saved.","Условието е съхранено."
"The onepage checkout is disabled.","Разплащане на една страница е забранено."
"The product could not be found.","Продуктът не може да бъде намерен."
"The product does not exist.","Продуктът не съществува."
"There are <a href=""%s"">%s items</a> in your cart.","В количката има <a href=""%s"">%s продукта</a>."
"There is <a href=""%s"">1 item</a> in your cart.","В количката има <a href=""%s"">1 продукт</a>."
"There was an error processing your order. Please contact us or try again later.","Възникна грешка при изпълнение на поръчката. Моля, свържете се с нас или опитайте отново по-късно."
"This condition no longer exists.","Това условие вече не съществува."
"Total","Общо"
"Total for this address","Общо за този адрес"
"Unable to set Payment Method.","Невъзможно задаването на метод за разплащане."
"Unit Price","Ед. цена"
"Update Cart","Обновяване на количката"
"Update Qty &amp; Addresses","Обновяване на количества и адреси"
"Update Shopping Cart","Обновяване на количката"
"Update Total","Актуализране на обща сума"
"Update product quantities in shopping cart","Обнови кличеството в количката"
"Update product(s) quantities in shopping cart","Обнови кличествата в количката"
"Use Billing Address","Използвай адреса за плащане"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Поръчката се обработва и скоро ще бъде изпратен имейл с пълна информация. Когато поръчката е изпратена, ще бъде изпратен нов имейл, съдържащ линк за проследяване на доставката."
"What's this?","Какво е това?"
"You have no items in your shopping cart.","Количката е празна."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ще получите имейл с потвържение и пълна информация за поръчката, както и линк за проследяване на статуса й."
"Your Checkout Progress","Прогрес на разплащане"
"Your billing agreement # is: %s.","Номер за съгласие за разплащане: #%s."
"Your order # is: %s.","Номер на поръчката: #%s."
"Your order has been received","Поръчката е приета"
"Your order number is ","Номер на поръчката "
"Your recurring payment profiles:","Вашите профили за повтарящи се разплащания:"
"Zip/Postal Code","Пощ. код"
