"%s","%s"
"%s already exist.","%s вече съществува."
"%s already exists.","%s вече съществуват."
"-- Please Select --","-- Моля изберете --"
"Delete","Изтрий"
"Delete Store","Изтрий магазин"
"Delete Store View","Изтрий изглед на магазин"
"Delete Website","Изтрий уебсайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Дизайн"
"Design Change","Промянва в дизайн"
"Developer","Разработчик"
"Developer Client Restrictions","Ограничения в клиент за разработка"
"Disable Email Communications","Забрани имейл комуникации"
"Disable Modules Output","Забрани изходящи данни от модули"
"Display Demo Store Notice","Покажи предупреждение за демонстрационен магазин"
"Duplicate Of Template Name","Дублициране на име на шаблон"
"Edit Design Change","Редактирай промяна на дизайн"
"Edit Store","Редактирай магазин"
"Edit Store View","Редактирай изглед на магазин"
"Edit Website","Редактирай уебсайт"
"Empty identifier field name","Празно име на поле за идентификатор"
"Empty main table name","Празно главно име на таблица"
"Enable Charts","Разреши графики"
"Enabled","Активиран"
"Enabled for Admin","Активно за Администрация"
"Enabled for Frontend","Активно за публичен сайт"
"Environment Update Time","Environment Update Time"
"Error in file: ""%s"" - %s","Грешка във файл: ""%s"" - %s"
"Error: Passwords do not match","Грешка: Паролите не съвпадат"
"Exceptions Log File Name","Име на файл за дневник на изключенията"
"Favicon Icon","Favicon Icon"
"File %s does not exist","Файл ""%s"" не съществува."
"File %s is not readable","File %s is not readable"
"File not found","Файлът не е намерен"
"File system","Файлова система"
"First Day of Week","Първи ден на седмицата"
"Flush Cache Storage","Изчисти хранилище на кеш"
"Flush Magento Cache","Изчисти Magento кеш"
"Footer","Край на страница"
"Forgot Password Email Sender","Подател за имейл за забравена парола"
"Forgot Password Email Template","Шаблон за имейл за забравена парола"
"General","Основни"
"General Contact","Основни данни за контакт"
"General Settings","Основни настройки"
"Global","Глобално"
"HTML Head","HTML заглавен блок"
"Header","Начало на страница"
"Host","Хост"
"How many links to display at once.","Клко линка да се покажат наведнъж"
"ID Path for Specified Store","Път ID за избрания магазин"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Некоректна дата на изтичане на кредитна карта"
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Invalid base url type","Невалиден тип базов адрес (url)"
"Invalid block name to set child %s: %s","Невалидно име на блок за задаване на под-блок %s: %s"
"Invalid block type: %s","Невалиден блок тип: %s"
"Invalid block: %s","Невалиден блок: %s"
"Invalid connection","Invalid connection"
"Invalid layout update handle","Невалидно име за обновяване на оформление"
"Invalid messages storage ""%s"" for layout messages initialization","Невалидно хранилище на съобщения ""%s"" за инициализация на съобщения за оформление"
"Invalid query","Invalid query"
"Invalid transactional email code: ","Неалиден транзакционен имейл код:  "
"Invalid website\'s configuration path: %s","Невалиден конфигурационен път на уебсайт: %s"
"JavaScript Settings","JavaScript настройки"
"Layout","Оформление"
"Leave empty for access from any location.","Оставете празни за достъп от всяко местонахождение."
"List of stores","List of stores"
"Locale","Регион"
"Locale Options","Регионални настройки"
"Log Settings","Настройки на системни дневници"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Записване в системен дневник от Mage::log(). Файлът се намира в {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","Оторизацията за вход е чувствителна на малки/главни букви"
"Logo Image Alt","Alt за Logo изображение"
"Logo Image Src","Src за Logo изображение ""
"Mail Sending Settings","Настройки за изпращане на имейл"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Убедете се че базовия адрес (URL) завършва с '/' (наклонена черта), напр. http://yourdomain/magento/"
"Manage Stores","Управление на Магазини"
"Match expressions in the same order as displayed in the configuration.","Търси съответсвия на изразите в същия ред, в който са показани в конфигурацията."
"Maximum length exceeded.","Надвишена е максималната дължина."
"Media Storage","Медийно хранилище"
"Merge CSS Files","Обедини CSS файлове"
"Merge JavaScript Files","Обедини JavaScript файлове"
"Miscellaneous HTML","Друг HTML"
"Miscellaneous Scripts","Други скриптове"
"Model class does not exist: %s.","Класът за модел не съществува: %s."
"Model collection resource name is not defined.","Не е дефинирано името на колекция от модели."
"Module ""%1$s"" requires module ""%2$s"".","Модул ""%1$s"" изисква модул ""%2$s""."
"Name","Име"
"New Design Change","Нова промяна в дизайна"
"New Store","Нов магазин"
"New Store View","Нов изглед на магазин"
"New Website","Нов уебсайт"
"No","Не"
"Offloader header","Offloader header"
"Package","Пакет"
"Pagination","Страниране"
"Pagination Frame","Рамка за страниране"
"Pagination Frame Skip","Пропускане на мамка за страниране"
"Parent directory does not exist: %s","Parent directory does not exist: %s"
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please choose to register or to checkout as a guest","Моля изберете регистриране или плащане като гост"
"Please define flag code.","Моля дефинирайте код за флаг."
"Please enter 6 or more characters.","Моля въведете 6 или повече символа."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Моля въведете 6 или повече символа. Начални и крайни празни места ще бъдат игнорирани."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Please enter 7 or more characters. Password should contain both numeric and alphabetic characters."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"Please enter a number greater than 0 in this field.","Моля въведете число по-голямо от нула в това поле."
"Please enter a number lower than 100.","Моля въведете число по-голямо от нула в това поле."
"Please enter a valid $ amount. For example $100.00.","Моля въведете валидна доларова ($) сума. Например $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Моля въведете валиден интернет адрес. Например http://www.example.com or www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Please enter a valid URL. Protocol is required (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Please enter a valid XML-identifier. For example something_1, block5, id-4."
"Please enter a valid credit card number.","Моля въведете валиден номер на кредитна карта."
"Please enter a valid credit card verification number.","Моля въведете валиден номер за оторизация на кредитна карта."
"Please enter a valid date between %s and %s","Please enter a valid date between %s and %s"
"Please enter a valid date equal to or greater than %s","Please enter a valid date equal to or greater than %s"
"Please enter a valid date less than or equal to %s","Please enter a valid date less than or equal to %s"
"Please enter a valid date.","Моля въведете валидна дата."
"Please enter a valid day (1-%d).","Please enter a valid day (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Моля, въведете валиден e-mail адрес. Например: johndoe@domain.com"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid full date","Please enter a valid full date"
"Please enter a valid month (1-12).","Please enter a valid month (1-12)."
"Please enter a valid number in this field.","Моля въведете валидно число в полето."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Моля въведете валиден телефонен номер. Например (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Моля въведете валиден номер на социална осигуровка. Например 123-45-6789."
"Please enter a valid year (1900-%d).","Please enter a valid year (1900-%d)."
"Please enter a valid zip code.","Моля въведете валиден пощенски код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Моля въведете валиден пощенски код. Например 90602 или 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please enter valid password.","Моля въведете валидна парола."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Моля въведете валидна CSS-дължина. Например 100px или 77pt"
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select State/Province.","Моля изберете Щат/Област."
"Please select an option.","Моля изберете опция."
"Please select one of the above options.","Моля изберете една от опциите по-горе."
"Please select one of the options.","Моля изберете една от опциите."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"Please specify either a category or a product, or both.","Моля изберете категория, продукт или и двете."
"Please specify payment method.","Моля изберете метод на разплащане."
"Please specify shipping method.","Моля изберете метод на изпращане."
"Please use letters only (a-z or A-Z) in this field.","Моля използвайте само букви (a-z or A-Z) в това поле."
"Please use letters only (a-z) in this field.","Моля използвайте само букви (a-z) в това поле."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Моля използвайте само числа в това поле. Моля избягвайте използването на дргуи символи като празни места, точки или запетайки."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Моля използвайте само букви (a-z or A-Z), числа (0-9) или долни черти (_) в това поле, първият символ трябва да е буква."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Моля използвайте само букви (a-z) или числа (0-9) в това поле. Не са разрешени празни места или други символи.""
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Моля използвайте само букви (a-z), или числа (0-9), или празни места и # в това поле."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Моля използвайте само букви (a-z), числа (0-9) или долна черта (_) в това поле, първия символ трябва да е буква."
"Please use only visible characters and spaces.","Please use only visible characters and spaces."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Моля използвайте следния формат за дата: dd/mm/yyyy. Например 17/03/2006 за 17ти март, 2006."
"Please wait, loading...","Моля изчакайте, зареждане..."
"Polls","Анкети"
"Port (25)","Порт (25)"
"Profiler","Профайлър"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Request Path for Specified Store","Път за заявка до избрания магазин"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Заявен невалиден магазин ""%s"""
"Resource is not set.","Ресурсът не е определен."
"Retrieve store data","Retrieve store data"
"Retrieve store list","Retrieve store list"
"Return-Path Email","Имейл за Return-Path"
"Root Category","Главна (root) категория"
"Sales Representative","Търговски представител"
"Save","Запази"
"Save Store","Запиши магазин"
"Save Store View","Запиши изглед на магазин"
"Save Website","Запиши уебсайт"
"Search Engines Optimization","Оптимизация за търсачки"
"Secure","Сигурен"
"Security","Сигурност"
"Select Date","Изберете дата"
"Select Media Database","Select Media Database"
"Sender Email","Имейл на подател"
"Sender Name","Име на подател"
"Services","Услуги"
"Session Cookie Management","Управление на Cookie на сесия"
"Session Lifetime (seconds)","Пордължителност на сесия (секунди)"
"Session Validation Settings","Настройки за валидиране на сесия"
"Set Return-Path","Задай Return-Path"
"Set as Default","Задай като стойност по подразбиране"
"Skin (Images / CSS)","Визуализация (Images / CSS)"
"Sort Order","Начин на подреждане"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Зададената стойност за дата/време ""%1$s"" не съвпада с формат ""%2$s""."
"Start date cannot be greater than end date.","Начална дата не може да бъде по-голяма от крайна дата."
"Startup Page","Стартираща страница"
"Status","Статус"
"Storage Configuration for Media","Storage Configuration for Media"
"Store","Магазин"
"Store API","Store API"
"Store Contact Address","Адрес за контакт на магазин"
"Store Contact Information","Информация за контакт на магазин"
"Store Contact Telephone","Телефон за контакт на магазин"
"Store Email Addresses","Имейл адрес на магазин"
"Store Information","Информация за магазин"
"Store Name","Име на магазин"
"Store View","Изглед"
"Store View Information","Информация за изглед на магазин"
"Store View Name","Име на изглед на магазин"
"Store view doesn't exist","Изгледа на магазин не съществува"
"Store with the same code","Магазин със същия код"
"System","Система"
"System Log File Name","Име на файл за системен дневник"
"Template Path Hints","Подсказки за път на шаблон"
"Template Settings","Нстройки за шаблон"
"Template Variables","Променливи за шаблон"
"Templates","Шаблони"
"Text length does not satisfy specified text range.","Text length does not satisfy specified text range."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Въведеното %s е невалидно. Моля спазете формат "http://domain.com/"."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Кодът на магазин може да съдържа само букви (a-z), числа (0-9) or долна черта (_), първият символ трябва да е буква"
"The store does not exist","Магазинът не съществува"
"The store has been deleted.","Магазинът беше изтрит."
"The store has been saved.","Магазинът беше записан."
"The store view has been deleted.","Изгледът на магазин беше изтрит."
"The store view has been saved","Изгледът на магазин беше записан"
"The template Name must not be empty.","Името на шаблона не трябва да е празно."
"The value is not within the specified range.","The value is not within the specified range."
"The website does not exist.","Убесайтът не съществува."
"The website has been deleted.","Убесайтът беше изтрит."
"The website has been saved.","Убесайтът беше записан."
"Themes","Теми"
"This category and all its child elements","Тази категория и всички нейни под-елементи"
"This category and its child categories only","Само тази категория и нейните под-категории"
"This category and its products only","Само тази категория и нейните продукти"
"This category only","Само тази категория"
"This date is a required value.","Тази дата е задължителна стойност."
"This is a required field.","Това поле е задължително."
"This store cannot be deleted.","Този магазин не може да бъде изтрит."
"This store view cannot be deleted.","Този изглед на магазин не може да бъде изтрит."
"This website cannot be deleted.","Този уебсайт не може да бъде изтрит."
"This will be displayed just before body closing tag.","Това ще бъде показано точно преди затварящ елемент body."
"This will be included before head closing tag in page HTML.","Това ще бъде включено в HTML на страницата преди затварящ елемент head."
"Timezone","Часова зона"
"Title Prefix","Префикс на заглавие"
"Title Suffix","Суфикс на заглавие"
"Translate Inline","Вградено превеждане"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Translate, blocks and other output caches should be disabled for both frontend and admin inline translations."
"Translations","Преводи"
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Two and more slashes together are not permitted in url rewrite suffix","Two and more slashes together are not permitted in url rewrite suffix"
"Unable to create directory: %s","Невъзможно е създаването на папка: %s"
"Unable to delete store view. Please, try again later.","Невъзможно е изтриването на изглед на магазин. Моля опитайте по късно."
"Unable to delete store. Please, try again later.","Невъзможно е изтриването на магазин. Моля опитайте по късно.."
"Unable to delete website. Please, try again later.","Невъзможно е изтриването на уебсайт. Моля опитайте по късно.."
"Unable to proceed. Please, try again","Процесирането е невъзможно. Моля опитайте отново"
"Unable to proceed. Please, try again.","Процесирането е невъзможно. Моля опитайте отново."
"Unable to save file ""%s"" at ""%s""","Unable to save file ""%s"" at ""%s"""
"Unable to save file: %s","Unable to save file: %s"
"Unknown old style column type definition: {$definition}.","Unknown old style column type definition: {$definition}."
"Unknown scope ""%s"".","Непознат обхват ""%s""."
"Unsecure","Несигурен"
"Url Options","Url опции"
"Use Custom Admin Path","Use Custom Admin Path"
"Use Custom Admin URL","Използвай друг адрес за достъп до администрация"
"Use HTTP Only","Изплзвай само HTTP"
"Use SID on Frontend","Използвай SID на пубичен сайт"
"Use Secure URLs in Admin","Използвай сигурни адреси за достъп в администрация"
"Use Secure URLs in Frontend","Използвай сигурни адреси за достъп на публичен сайт"
"Use Web Server Rewrites","Използвай презаписвания на уеб сървър"
"Validate HTTP_USER_AGENT","Валидирай HTTP_USER_AGENT"
"Validate HTTP_VIA","Валидирай HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Валидирай HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Валидирай REMOTE_ADDR"
"Validation has failed.","Валидирането е неуспешно."
"Values less than 60 are ignored. Note that changes will apply after logout.","Стойности под 60 се игнорират. Промените ще бъдат приложени след изход от системата."
"Variable Code must be unique.","Кодът на променлива трябва да е уникален."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Web","Уеб"
"Website","Уебсайт"
"Website Information","Информация за уебсайт"
"Website Name","Име на уебсайт"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Кодът за уебсайт може да съдържа само букви (a-z), цифри (0-9) или долна черта (_), първия символ трябва да е буква"
"Website with the same code","Уебсайт със същия код"
"Weekend Days","Дни за уикенд"
"Welcome Text","Текст за добре дошъл"
"Wrong file info format","Wrong file info format"
"Wrong number of arguments for %s","Грешен брой аргументи за %s"
"Wrong old style column type definition: {$definition}.","Wrong old style column type definition: {$definition}."
"Yes","Да"
"You will have to log in after you save your custom admin path.","You will have to log in after you save your custom admin path."
"Your design change for the specified store intersects with another one, please specify another date range.","Промяната на дизайна за избрания магазин се засича с друга, моля определете дати за друг период."
"Your order cannot be completed at this time as there is no payment methods available for it.","Вашата поръчка не може да бъде завършена към този момент, поради липсата на методи на разплащане."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Вашата поръчка не може да бъде завършена към този момент, поради липсата на методи на доставка. Моля направете съответни промени във Вашия адрес за доставка."
"Your session has been expired, you will be relogged in now.","Сесията Ви изтече, ще бъдете оторизиран отново."
"database ""%s""","database ""%s"""
