"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s - %s","%s - %s"
"%s Item(s)","%s обекта"
"Attrribute names can be specified per store.","Имената на атрибутите могат да се задават за всеки магазин."
"Autogenerate","Автоматично генериране"
"Availability:","Наличност:"
"Back","Обратно"
"Backend Model","Модел за администрация"
"Backend Table","Таблица за администрация"
"Backend Table Title","Име на таблица за администрация"
"Backorders","Върнати поръчки"
"Based On","Базиран на"
"Before Order Confirmation","Преди потвърждаване на поръчката"
"Best Value","Най-добра стойност"
"Block after Info Column","Блок след инфо колона"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Долу/Ляво"
"Bottom/Right","Долу/Дясно"
"Browse By","Разглеждане по"
"Bundle Items","Пакетни артикули"
"Buy %1$s","Купи %1$s"
"Buy %1$s for","Купи %1$s за"
"Buy %1$s for %2$s","Купи %1$s за %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купи %1$s за %2$s (%3$s вкл. данък) всеки"
"Buy %1$s for %2$s each","Купи %1$s за %2$s всеки"
"Cache Lifetime (Seconds)","Продължителност на кеша (секунди)"
"Cache refresh needed.","Изисква се обновяване на кеша."
"Can be used only with catalog input type Dropdown","Може да се използва само с поле за въвеждане тип Падащо меню"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Може да се използва само с поле за въвеждане тип Падащо меню, Многократен избор и Цена"
"Can\'t create image.","Can\'t create image."
"Cancel","Отказ"
"Cannot create image.","Не може да бъде създадено изображение."
"Cannot create writeable directory '%s'.","Не може да бъде създадена директория с права за писане '%s'."
"Cart Item Attribute","Атрибут за продукт в количката"
"Catalog","Каталог"
"Catalog Category (Anchor)","Каталог категория (с филтър навигация)"
"Catalog Category (Non-Anchor)","Каталог категория (без филтър навигация)"
"Catalog Category (Without Subcategories)","Каталог категория (без под-категории)"
"Catalog Category Link","Линк за каталог категория"
"Catalog New Products List","Каталожен списък нови продукти"
"Catalog Price Scope","Каталожен ценови обхват"
"Catalog Product Compare List","Каталожен списък за сравнение на продукти"
"Catalog Product Email to a Friend","Изпрати продукт на приятел"
"Catalog Product Image Gallery Popup","Нов прозорец за галерия с изображения на продукт"
"Catalog Product Link","Линк за продукт"
"Catalog Product View (Any)","Продукт изглед (Всякакъв)"
"Catalog Product View (Configurable)","Продукт изглед (Конфигуриран)"
"Catalog Product View (Grouped)","Продукт изглед (Групиран)"
"Catalog Product View (Simple)","Продукт изглед (Обикновен)"
"Catalog Product View (Virtual)","Продукт изглед (Виртуален)"
"Catalog Section","Каталог секция"
"Catalog Seo Popular Search Terms","Популярни SEO критерии за търсене в каталога"
"Catalog Seo Sitemap (Category List)","SEO карта на каталога (Списък категории)"
"Catalog Seo Sitemap (Category Tree)","SEO карта на каталога (Дърво на категории)"
"Catalog Seo Sitemap (Common)","SEO карта на каталога (Обща)"
"Catalog Seo Sitemap (Product List)","SEO карта на каталога (Списък продукти)"
"Catalog URL Rewrites","Каталог URL презаписи"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","Каталог, Търсене"
"Categories","Категории"
"Categories Sitemap","Карта на категориите"
"Category","Категория"
"Category API","Категория API"
"Category Data","Категории Данни"
"Category Flat Data","Категории линейни данни"
"Category Link Block Template","Блок шаблон за линк на категория"
"Category Link Inline Template","Вграден шаблон за линк на категория"
"Category Products","Категория: Продукти"
"Category Top Navigation","Основна навигация на категории"
"Category URL Suffix","Наставка за URL на категории"
"Category attributes API","API на атрибути на категории"
"Category move error","Грешка при преместване на категория"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Преместването на категория е невъзможно: не е намерена нова главна категория."
"Category must be an instance of Mage_Catalog_Model_Category.","Категорията трябва да е обект на Mage_Catalog_Model_Category."
"Center","Център"
"Change","Промяна"
"Change or Retrieve attribute store view","Промяна или извличане изглед на атрибут в магазин"
"Change status","Смени статус"
"Check items to add to the cart or","Маркирай артикули за добавяне в количката или"
"Choose an Option...","Избери опция..."
"Clear All","Изчисти всичко"
"Click for price","Кликни за цена"
"Close Window","Затвори прозореца"
"Collapse All","Затвори всичко"
"Comma-separated.","Разделено със запетая."
"Comparable","Сравним"
"Comparable on Front-end","Сравним на публичен сайт"
"Comparable on the Frontend","Сравним на публичния сайт"
"Compare","Сравни"
"Compare Products","Сравни продукти"
"Conditions Combination","Комбинация от условия"
"Configurable Product","Конфигуриран Продукт"
"Configurable Product Settings","Настройки на Конфигуриран продукт"
"Configure Product","Конфигурирай продукт"
"Continue","Продължи"
"Copy From Configurable","Копирай от конфигуриран"
"Country/State","Държава / Щат"
"Create","Създай"
"Create (Upload)","Създай (Качване)"
"Create Empty","Създай празен"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Permanent Redirect for old URL","Създаване на перманентно пренасочване за стар адрес (URL)"
"Create Product Settings","Настройки за създаване на продукт"
"Create Simple Associated Product","Създай обикновен асоцииран продукт"
"Create attribute set based on another set","Create attribute set based on another set"
"Create new attribute","Създай нов атрибут"
"Create new category","Създай нова категория"
"Create new product","Създай нов продукт"
"Cross-sells","Кръстосани продажби"
"Currently Shopping by:","Избрани филтри"
"Custom Design","Дизайн по избор"
"Custom Options","Custom Options"
"Custom options","Custom options"
"Customer Group","Клиентска група"
"Customers Reviews","Мнения на клиенти"
"Customers Tagged Product","Клиентски отбелязан продукт"
"Data Type for Saving in Database","Тип информация за съхранение в БД"
"Date & Time Custom Options","Потребителски опции за Дата и Час"
"Date Fields Order","Подредба на полета тип Дата"
"Date Subscribed","Дата на абонамент"
"Datetime","Дата/час"
"Decimal","Десетичен"
"Declare attribute value saving scope","Декларирай обхват за записване на стойности на атрибут"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Цена по подразбиране"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Количество по подразбиране"
"Default Values","Стойности по подразбиране"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Дефинира базисен валутен обхват ("Валутни Настройки" > "Валутни Опции" > "Базисна Валута")."
"Delete","Изтрий"
"Delete Attribute","Изтрий Атрибут"
"Delete Attribute Set","Изтрий Атрибут група"
"Delete Category","Изтрий категория"
"Delete Option","Изтрий опция"
"Delete Row","Изтрий ред"
"Delete Search","Изтрий търсене"
"Delete Selected Group","Изтрий избраната група"
"Delete attribute","Изтрий Атрибут"
"Delete category","Изтрий категория"
"Delete product","Изтрий продукт"
"Depends on design theme","Зависи от дизайна на темата"
"Design","Дизайн"
"Details","Детайли"
"Disabled","Неактивно"
"Disallowed file type.","Непозволен тип файлов."
"Display Actual Price","Display Actual Price"
"Display in Suggested Terms","Покажи в препоръчани критерии"
"Double click on a group to rename it","Двоен клик върху група за преименуване"
"Double click on above image to view full picture","Двоен клик върху изображението за преглед на цялата снимка"
"Downloadable Information","Информация за продукт за сваляне"
"Duplicate","Направи копие"
"Duplicate website tier price customer group and quantity.","Направи копие на клиентска група за ценови нива и количество на уебсайт."
"Duplicate website, country and state tax found.","Направи копие на намерените уебсайт, държава, област и данък."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Напр. {{media url="path/to/image.jpg"}} {{skin url="path/to/picture.gif"}}. Изпозлването на динамични директиви се отразява върху скоростта на работа на каталога."
"Edit","Редактирай"
"Edit Attribute Set '%s'","Редактирай Атрибут група '%s'"
"Edit Product Attribute","Редактирай продуктов атрибут"
"Edit Product Attribute ""%s""","Редактирай продуктов атрибут ""%s"""
"Edit Search","Редактирай търсене"
"Edit Search '%s'","Редактирай търсене '%s'"
"Edit Set Name","Редактирай Име на група"
"Email","Имейл"
"Email to a Friend","Изпрати на приятел"
"Empty","Празно"
"Enable MAP","Enable MAP"
"Enable Qty Increments","Разреши увеличавания на количествата"
"Enable WYSIWYG","Разреши WYSIWYG"
"Enabled","Активиран"
"Error during retrieval of option value: %s","Грешка при извличане стойност на опция: %s"
"Exclude","Изключване"
"Expand All","Отвори всичко"
"Failed","Неуспешно"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Неуспех при местене на файл: %s"
"Feature Products","Маркирай продукти като специални"
"Field is not complete","Полето е непълно"
"File options format is not valid.","Формат на файл за опции е невалиден."
"File upload failed","Качването на файл неуспешно"
"Filter model name must be declared.","Трябва да бъде декларирано името на филтър модела."
"Filter must be an object. Please set correct filter.","Филтърът трябва да бъде обект. Моля, изберете правилен филтър."
"Filterable (no results)","Позволен за филтър (без резултати)"
"Filterable (with results)","Позволен за филтър (с резултати)"
"First Name","Име"
"Fixed","Фиксирано"
"For internal use.","За системна употреба."
"Frontend","Публичен сайт"
"Frontend Model","Модел за публичен сайт"
"Frontend Properties","Свойства на публичен сайт"
"Gallery","Галерия"
"General Information","Основна информация"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Получи промоционална цена"
"Global","Глобално"
"Globally Editable","Глобално позволен за редактиране"
"Go to Home Page","Към начална страница"
"Grid","Табличен изглед"
"Group add","Добави група"
"Group remove","Премахни група"
"Grouped Product","Групиран продукт"
"Groups","Групи"
"Home","Начало"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Ако е празно, ще бъде изполвано името на категорията "
"If empty, the Product Name will be used","Ако е празно, ще бъде изполвано името на продукта "
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Ако не е посочена стойност на опцията за конкретен изглед на магазин, тогава ще бъде използвана стойността по подразбиране (Администрация)."
"Image","Изображение"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Изображението не съществува."
"Image file was not found.","Image file was not found."
"Image type and information need to be specified for each store view.","Видът и информацията на изображението трябва да бъдат посочени за всеки изглед на магазин."
"In Cart","В количката"
"In Stock","В наличност"
"In stock","В наличност"
"Incl. Tax","С вкл. данък"
"Index product and categories URL rewrites","Индексирай URL презаписване на продукт и категории"
"Index product attributes for layered navigation building","Индексирай продукт атрибути за изграждане на филтър навигация"
"Index product prices","Индексирай цени на продукти"
"Indexed category/products association","Индексирана асоциация на категория/продукт"
"Info","Информация:"
"Info Column Options Wrapper","Wrapper за опции на информационна колона"
"Input Type","Входящ тип"
"Integer","Цяло число"
"Invalid Tier Prices","Невалидни ценови нива"
"Invalid attribute %s","Невалиден атрибут %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Невалидна опция за атрибут е използвана за атрибут %s (%s), пропускане на записа."
"Invalid attribute set specified, skipping the record.","Използвана е невалидна група атрибути, пропускане на записа."
"Invalid block: %s.","Невалиден блок: %s."
"Invalid category IDs.","Невалидни идентификатори на категория."
"Invalid category.","Невалидна категория."
"Invalid image file type.","Невалиден тип на файл на изображение."
"Invalid image type.","евалиден тип на изображение."
"Invalid option ID specified for %s (%s), skipping the record.","Невалиден идентификатор на опция използван за %s (%s), пропускане на записа."
"Invalid product type specified, skipping the record.","Използване е невалиден продукт тип, пропускане на записа."
"Invalid store specified","Посочен е невалиден магазин"
"Invalid store specified, skipping the record.","Невалиден магазин, пропускане на записа."
"Invalid tier prices. The product is not associated to the requested website.","Невалидни ценови нива. Продуктът не е асоцииран с изискания уебсайт."
"Inventory","Инвентар"
"Is Default","е по подразбиране"
"Is Required","е задължителен"
"Items %s to %s of %s total","Обекти %s до %s от общо %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Артикули, които не искате да се показват в каталога или резултатите от търсене, трябва да имат статус 'Неактивен' в избрания магазин."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Артикули, които не искате да се показват в каталога или резултатите от търсене, трябва да имат статус 'Неактивен' в избрания магазин."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Етикет"
"Last Name","Фамилия"
"Last Notification","Последно известие"
"Layered Navigation","Платова навигация"
"Learn More","Научете още"
"Line %d, Email: %s","Ред %d, Имейл: %s"
"Line %d, SKU: %s","Ред %d, Кат. №: %s"
"Link (Related, Up sell, Cross sell)","Свързване (Свързан, Допълнителна продажба, Кръстосана продажба)"
"Link product does not exist.","Свързания продукт не съществува."
"Link to a Specified Category","Свържи с избрана категория"
"Link to a Specified Product","Свържи с избран продукт"
"List","Списък"
"List Mode","Режим списък"
"List of Products that are set as New","Списък с продукти маркирани като нови"
"List of types","List of types"
"Manage Attribute Sets","Управление на Атрибут групи"
"Manage Attributes","Управление на атрибути"
"Manage Catalog Categories","Управление на Категории"
"Manage Categories","Управление на Категории"
"Manage Label / Options","Етикети / опции"
"Manage Options (values of your attribute)","Опции (стойности на ваш атрибут)"
"Manage Product Attributes","Управление на Атрибути на продукт"
"Manage Product Sets","Управление на Продукт групи"
"Manage Products","Управление на Продукти"
"Manage Stock","Управление Налични количества"
"Manage Titles (Size, Color, etc.)","Управление на Заглавия (Размер, Цвят, т.н.)"
"Max Characters","Макс. брой символи"
"Maximal Depth","Макс. дълбочина"
"Maximum Image Size","Макс. размер на файла"
"Maximum Qty Allowed in Shopping Cart","Максимално количество, разрешено в количката"
"Maximum image height","Макс. височина на изображението"
"Maximum image width","Макс. широчина на изображението"
"Maximum number of characters:","Макс. брой символи:"
"Media Image","Изображение"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Мин. брой редове на страница"
"Minimum Qty Allowed in Shopping Cart","Минимално количество, разрешено в количката"
"Minimum Qty for Item\'s Status to be Out of Stock","Мин. количество за смяна на продукт статуса на Неналичен"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","Още изгледи"
"Move","Премести"
"Move category in tree","Премести категорията в дървото"
"Must be in the allowed values list.","Трябва да бъде в списъка на позволени стойности."
"N/A","не е налично"
"Name","Име"
"Name in %s","Име в %s"
"New Product","Нов продукт"
"New Product Attribute","Нов атрибут на продукт"
"New Products","Нови продукти"
"New Products Grid Template","Нов шаблон за таблица продукти"
"New Products List Template","Нов шаблон за списък продукти"
"New Root Category","Нова главна категория"
"New Search","Ново търсене"
"New Set Name","Ново име на група"
"New Subcategory","Нова подкатегория"
"Next","Следващ"
"No","Не"
"No image","Без изображение"
"No layout updates","Няма обновяване на оформлението"
"No options of this product are available.","Не са налични опции за този продукт."
"No product collections found.","Не са намарени колекции от продукти."
"None","Няма"
"Not Visible Individually","Самостоятелно видимо никъде"
"Notify Low Stock RSS","RSS Предупреждение за ниски наличности"
"Notify for Quantity Below","Извести за количества под"
"Number of Products to Display","Брой продукти за показване"
"Number of Uses","Брой използвания"
"Number of results<br/>(For the last time placed)","Брой резултати<br/>(за последно използван период)"
"OK","ОК"
"OR","ИЛИ"
"Old Price:","Стара цена:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Неуспешен опит за добавяне в количка поради невалидна опция."
"Option values","Стойности"
"Option:","Опция:"
"Options","Опции"
"Options Control","Управление на опции"
"Options is required","Опцията е задължителна"
"Our customer service is available 24/7. Call us at (555) 555-0123.","- текст за Клиентски услуги - mage catalog l.377"
"Out of Stock","Не е в наличност"
"Out of stock","Не е в наличност"
"PM","PM"
"Page Title Separator","Разделител за заглавие на страницата"
"Parent Category","Главна категория"
"Pending","В изчакване"
"Pending Reviews RSS","RSS за мнения, очакващи одобрение"
"Percentage","Процент"
"Please add rows to option.","Моля добавете редове за опция."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Моля бъдете внимателен - с кликане върху ред ще бъдат заредени данните от пакет от избрания файл и всички незаписани данни от формата ще бъдат загубени."
"Please click on the Close Window button if it is not closed automatically.","Моля, кликнете бутона за затваряне на прозореца, ако не се затвори автоматично."
"Please enter a new group name","Моля, въведете ново име на група"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Моля обновете "Каталог URL Презаписи" и "Продукт атрибути" в Системни -> <a href=""%s"">Управление на индекси</a>"
"Please select a static block ...","Моля изберете статичен блок..."
"Please select items.","Моля, изберете артикули."
"Please select one or more attributes.","Моля, изберете един или повече атрибути."
"Please select product(s).","Моля, изберете продукт(и)."
"Please select products for attributes update","Моля, изберете продукти за обновяване на атрибути"
"Please specify date required option(s).","Моля, определете задължителните за дата опции."
"Please specify the product required option(s)","Моля, определете задължителните за продукта опции"
"Please specify the product required option(s).","Моля, определете задължителните за продукта опции."
"Please specify the product\'s option(s).","Моля, определете опциите на продукта."
"Please specify the product\'s required option(s).","Моля, определете задължителните за продукта опции."
"Please specify the quantity of product(s).","Моля, определете количеството на продукта/продуктите."
"Please specify time required option(s).","Моля, определете задължителните за време опции."
"Please wait...","Моля изчакайте..."
"Position","Позиция"
"Position in Layered Navigation","Позиция във филтър навигация"
"Position of attribute in layered navigation block","Позиция на атрибута в блок на филтър навигация"
"Prev","назад"
"Price","Цена"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","Ценови тип"
"Price is not available","Цената е неналична"
"Price values for options should be specified in system base currency.","Стойности на цена за опции трябва да бъдат определени в системна базова валута."
"Price:","Цена:"
"Price: %s","Цена: %s"
"Print This Page","Разпечатай страницата"
"Product","Продукт"
"Product API","Продукт API"
"Product Alerts","Уведомявания за продукти"
"Product Attribute","Продуктов атрибут"
"Product Attributes","Продукт Атрибути"
"Product Categories","Категории на продукта"
"Product Description","Описание на продукта"
"Product Extra Info","Допълнителна информация за продукт"
"Product Flat Data","Линейна информация за продукта"
"Product ID","Продукт ID"
"Product Image Placeholders","Контейнери на продуктови изображения"
"Product Image Watermarks","Водни знаци на продуктови изображения"
"Product Images","Изображения на продукт"
"Product Images API","API за продуктови изображения"
"Product In Websites","Продукт в Уебсайтове"
"Product Info Column","Инфо колона на продукта"
"Product Information","Информация за продукта"
"Product Link Block Template","Шаблон на блок за продуктово свързване"
"Product Link Inline Template","Вграден шаблон за продуктово свързване"
"Product Listing Sort by","Сортирай списъка с продукти по"
"Product Name","Име на продукт"
"Product Prices","Цени"
"Product Reviews","Мнения за продукт"
"Product Tags","Кл. думи за продукт"
"Product Tier Price API","API за ценови нива"
"Product Type","Тип на продукта"
"Product URL Suffix","Наставка на URL на продукт"
"Product View Extra Hint","Допълнителен съвет в продукт изглед"
"Product attribute sets API","API на групи атрибути"
"Product attributes API","API на продукт атрибути"
"Product collection expected.","Очаква се продуктова колекция."
"Product is not loaded","Продукта не е зареден"
"Product links API (related, cross sells, up sells)","API продуктово свързване (свързани, кръстосани продажби, допълнителни продажби)ю"
"Product name","Име на продукт"
"Product types API","API продуктови типове"
"Product with this combination of attributes already associated to configurable.","Продукт с тази комбинация от атрибути в вече асоцииран към конфигуриран."
"Products","Продукти"
"Products Comparison List","Списък за сравнение"
"Products Information","Информация за продукти"
"Products Reviews","Мнения за продукти"
"Products Sitemap","Карта на продукти"
"Products only","Само продукти"
"Products per Page on Grid Allowed Values","Позволени стойности за продукти на страница на табличен списък"
"Products per Page on Grid Default Value","Стойност по подразбиране за продукти на страница на табличен списък"
"Products per Page on List Allowed Values","Позволени стойности за продукти на страница на списък"
"Products per Page on List Default Value","Стойност по подразбиране за продукти на страница на списък"
"Properties","Настройки"
"Qty","Кол."
"Qty Increments","Увеличения на количество"
"Qty Uses Decimals","Кол. е в десетична дроб"
"Qty for Item\'s Status to Become Out of Stock","Кол. за промяна статуса на артикула на неналичен"
"Qty:","Кол.:"
"Quantity","Количество"
"Quick Create","Бързо създаване"
"Quick Overview","Бърз преглед"
"Quick simple product creation","Бързо създаване на Обикновен продукт"
"Records for ""","Записи за ""
"Redirect","Пренасочване"
"Redirect URL","URL за пренасочване"
"Regular Price:","Редовна цена:"
"Related Products","Свързани продукти"
"Remove","Премахни"
"Remove Product From Websites","Премахни продукт от Уебсайтове"
"Remove This Item","Премахни този продукт"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Премахни опция"
"Remove product assignment","Премахни присъединеност на продукт"
"Remove product image","Премахни изображение"
"Remove product link","Премахни връзка"
"Remove value from custom option","премахни стойност"
"Rename existing group","Преименувай съществуваща група"
"Rename group","Преименувай група"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","Отмени"
"Results","Резултати"
"Retrieve attribute data","Извлечи атрибут данни"
"Retrieve attribute list","Извлечи списък атрибути"
"Retrieve attribute options","Извлечи опции на атрибут"
"Retrieve categories tree","Извлечи дърво на категории"
"Retrieve category attributes","Извлечи атрибути на категория"
"Retrieve category data","Извлечи данни за категория"
"Retrieve hierarchical tree","Извлечи йерархично дърво"
"Retrieve linked products","Извлечи свързани продукти"
"Retrieve list of assigned products","Извлечи присъединени продукти"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Извлечи едно ниво категории по уебсайт/магазин изглед/главна категория"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Извлечи продукт"
"Retrieve product attribute sets","Извлечи продуктови атрибут групи"
"Retrieve product image","Извлечи изображение на продукт"
"Retrieve product image list","Извлечи списък изображения за продукт"
"Retrieve product image types","Извлечи типа на изображенията за продукт"
"Retrieve product link type attributes","Извлечи атрибути на тип продуктово свързване"
"Retrieve product link types","Извлечи типовете продуктово свързване"
"Retrieve product tier prices","Извлечи ценови нива"
"Retrieve product types","Извлечи типове продукти"
"Retrieve products data","Извлечи данни на продукти"
"Retrieve products list by filters","Извлечи списък продукти по филтри"
"Reviews","Мнения"
"Roll Over for preview","Премини с мишката за преглед"
"Root","Главен"
"SKU","Кат. №"
"SKU length should be %s characters maximum.","Дължината на кат. ном трябва да бъде максимум %s символа."
"Save","Запази"
"Save Attribute","Запиши атрибут"
"Save Attribute Set","Запиши атрибут група"
"Save Category","Запиши категория"
"Save Search","Запиши търсене"
